id,title,question,answer
73,Super_Bowl_50,When is the last time a fumble return touchdown happened in a Super Bowl?,Super Bowl XXVIII
65,1973_oil_crisis,"According to the AAA, what is the percentage of the gas stations that ran out of gasoline?","last week of February 1974,"
17,French_and_Indian_War,What choice did French have for surrendering land?,continental North American possessions east of the Mississippi or the Caribbean islands of Guadeloupe and Martinique
51,European_Union_law,Which articles state that the member states' rights to deliver public services may not be obstructed?,Articles 106 and 107
42,Computational_complexity_theory,The time required to output an answer on a deterministic Turing machine is expressed as what?,state transitions
10,Scottish_Parliament,How many general questions are available to opposition leaders?,four
45,Civil_disobedience,What group of people performed revolutionary civil disobedience toward the Austrian government?,Hungarians
47,Doctor_Who,What series featured Doctors from the revised version of Doctor Who?,Destiny of the Doctor
35,American_Broadcasting_Company,When did Mark Woods leave ABC?,"June 30, 1951"
5,Scottish_Parliament,Where were interviews held while the parliament was in its temporary building?,courtyard
74,Warsaw,What is the full official city name of Warsaw?,miasto stołeczne Warszawa
79,Rhine,"Besides constant flooding, why else was there regulation of the Rhine?",strong sedimentation
29,Nikola_Tesla,What planet did the reporters decide the signals were from?,Mars
19,University_of_Chicago,The Mitchell Tower is designed to look like what Oxford tower?,Oxford's Magdalen Tower
48,Warsaw,Why is Warsaw's flora very rich in species?,location of Warsaw
36,Private_school,"Along with the Congregation of Christian Brothers, what is a notable religious group that runs fee-paying schools in Ireland?",Society of Jesus
71,Harvard_University,What are the 3 post popular libraries for undergraduates in the Harvard system?,"Cabot Science Library, Lamont Library, and Widener Library"
61,University_of_Chicago,Who developed the actinide concept?,Yuan T. Lee
6,Oxygen,At what temperature will oxygen condense?,90.20 K
100,Steam_engine,What is another term for rotors?,rotating discs
